@relation autoMPG8
@attribute Cylinders integer[3,8]
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Origin integer[1,3]
@attribute Mpg real[9.0,46.6]
@inputs Cylinders, Displacement, Horse_power, Weight, Acceleration, Model_year, Origin
@outputs Mpg
@data
4, 97, 75, 2171, 16, 75, 3, 29
6, 173, 110, 2725, 12.6, 81, 1, 23.5
4, 90, 48, 1985, 21.5, 78, 2, 43.1
4, 121, 76, 2511, 18, 72, 2, 22
8, 304, 193, 4732, 18.5, 70, 1, 9
4, 79, 58, 1825, 18.6, 77, 2, 36
8, 400, 167, 4906, 12.5, 73, 1, 12
8, 350, 180, 4499, 12.5, 73, 1, 12
8, 318, 135, 3830, 15.2, 79, 1, 18.2
4, 79, 67, 1963, 15.5, 74, 2, 26
4, 91, 53, 1795, 17.5, 75, 3, 33
4, 151, 90, 2950, 17.3, 82, 1, 27
4, 134, 90, 2711, 15.5, 80, 3, 29.8
4, 97, 78, 2188, 15.8, 80, 2, 34.3
4, 156, 105, 2800, 14.4, 80, 1, 27.9
4, 119, 100, 2615, 14.8, 81, 3, 32.9
4, 140, 89, 2755, 15.8, 77, 1, 25.5
4, 140, 75, 2542, 17, 74, 1, 25
8, 305, 140, 4215, 13, 76, 1, 17.5
4, 90, 48, 2335, 23.7, 80, 2, 43.4
4, 85, 65, 1975, 19.4, 81, 3, 37
4, 112, 88, 2395, 18, 82, 1, 34
4, 119, 97, 2545, 17, 75, 3, 24
4, 97, 78, 2190, 14.1, 77, 2, 30.5
6, 258, 110, 3632, 18, 74, 1, 16
4, 98, 66, 1800, 14.4, 78, 1, 36.1
4, 97, 54, 2254, 23.5, 72, 2, 23
4, 140, 88, 2890, 17.3, 79, 1, 22.3
4, 79, 58, 1755, 16.9, 81, 3, 39.1
8, 318, 150, 3940, 13.2, 76, 1, 13
8, 351, 142, 4054, 14.3, 79, 1, 15.5
8, 350, 165, 4274, 12, 72, 1, 13
4, 98, 68, 2045, 18.5, 77, 3, 31.5
4, 140, 86, 2790, 15.6, 82, 1, 27
6, 231, 165, 3445, 13.4, 78, 1, 17.7
4, 119, 97, 2405, 14.9, 78, 3, 23.9
8, 400, 150, 4997, 14, 73, 1, 11
8, 400, 230, 4278, 9.5, 73, 1, 16
8, 350, 125, 3900, 17.4, 79, 1, 23
4, 85, 65, 2110, 19.2, 80, 3, 40.8
4, 121, 110, 2600, 12.8, 77, 2, 21.5
8, 267, 125, 3605, 15, 79, 1, 19.2
6, 171, 97, 2984, 14.5, 75, 1, 18
6, 146, 97, 2815, 14.5, 77, 3, 22
4, 116, 81, 2220, 16.9, 76, 2, 25
4, 122, 86, 2226, 16.5, 72, 1, 21
8, 304, 150, 3892, 12.5, 72, 1, 15
4, 96, 69, 2189, 18, 72, 2, 26
4, 140, 78, 2592, 18.5, 75, 1, 23
5, 131, 103, 2830, 15.9, 78, 2, 20.3
4, 89, 60, 1968, 18.8, 80, 3, 38.1
6, 181, 110, 2945, 16.4, 82, 1, 25
8, 350, 150, 4699, 14.5, 74, 1, 13
8, 350, 170, 4165, 11.4, 77, 1, 15.5
4, 97, 46, 1950, 21, 73, 2, 26
6, 225, 90, 3381, 18.7, 80, 1, 19.1
6, 250, 110, 3520, 16.4, 77, 1, 17.5
4, 107, 75, 2210, 14.4, 81, 3, 33.7
6, 232, 100, 2901, 16, 74, 1, 19
4, 122, 85, 2310, 18.5, 73, 1, 19
4, 91, 67, 1965, 15, 82, 3, 38
8, 350, 145, 4082, 13, 73, 1, 15
4, 140, 90, 2408, 19.5, 72, 1, 20
6, 250, 100, 3336, 17, 74, 1, 15
4, 151, 90, 2670, 16, 79, 1, 28.4
8, 340, 160, 3609, 8, 70, 1, 14
4, 97, 67, 2065, 17.8, 81, 3, 32.3
6, 168, 120, 3820, 16.7, 76, 2, 16.5
4, 91, 68, 1970, 17.6, 82, 3, 31
6, 250, 100, 3278, 18, 73, 1, 16
8, 304, 150, 4257, 15.5, 74, 1, 14
4, 89, 62, 1845, 15.3, 80, 2, 29.8
4, 151, 90, 3003, 20.1, 80, 1, 24.3
4, 86, 65, 2019, 16.4, 80, 3, 37.2
4, 151, 85, 2855, 17.6, 78, 1, 23.8
3, 70, 97, 2330, 13.5, 72, 3, 19
4, 97, 78, 1940, 14.5, 77, 2, 29
4, 98, 90, 2265, 15.5, 73, 2, 26
