@relation autoMPG8
@attribute Cylinders integer[3,8]
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Origin integer[1,3]
@attribute Mpg real[9.0,46.6]
@inputs Cylinders, Displacement, Horse_power, Weight, Acceleration, Model_year, Origin
@outputs Mpg
@data
6, 232, 100, 2789, 15, 73, 1, 18
8, 455, 225, 4951, 11, 73, 1, 12
8, 318, 150, 4237, 14.5, 73, 1, 14
8, 360, 170, 4654, 13, 73, 1, 13
6, 156, 122, 2807, 13.5, 73, 3, 20
4, 156, 105, 2745, 16.7, 78, 1, 23.2
4, 116, 75, 2158, 15.5, 73, 2, 24
4, 107, 90, 2430, 14.5, 70, 2, 24
6, 225, 110, 3360, 16.6, 79, 1, 20.6
6, 168, 132, 2910, 11.4, 80, 3, 32.7
6, 225, 95, 3785, 19, 75, 1, 18
4, 120, 97, 2506, 14.5, 72, 3, 23
6, 200, 85, 3070, 16.7, 78, 1, 20.8
4, 120, 75, 2542, 17.5, 80, 3, 31.3
4, 97, 92, 2288, 17, 72, 3, 28
6, 225, 100, 3630, 17.7, 77, 1, 19
4, 91, 70, 1955, 20.5, 71, 1, 26
8, 318, 150, 3777, 12.5, 73, 1, 15
8, 350, 145, 4055, 12, 76, 1, 13
8, 400, 150, 4464, 12, 73, 1, 13
4, 98, 79, 2255, 17.7, 76, 1, 26
4, 140, 92, 2865, 16.4, 82, 1, 24
6, 232, 100, 2945, 16, 73, 1, 18
8, 304, 150, 3433, 12, 70, 1, 16
8, 351, 158, 4363, 13, 73, 1, 13
8, 302, 129, 3725, 13.4, 79, 1, 17.6
8, 350, 155, 4502, 13.5, 72, 1, 13
8, 390, 190, 3850, 8.5, 70, 1, 15
6, 163, 125, 3140, 13.6, 78, 2, 17
4, 115, 95, 2694, 15, 75, 2, 23
6, 200, 81, 3012, 17.6, 76, 1, 24
8, 302, 140, 4141, 14, 74, 1, 16
4, 122, 96, 2300, 15.5, 77, 1, 25.5
4, 97, 60, 1834, 19, 71, 2, 27
4, 85, 70, 1945, 16.8, 77, 3, 33.5
4, 98, 80, 1915, 14.4, 79, 1, 35.7
8, 454, 220, 4354, 9, 70, 1, 14
4, 72, 69, 1613, 18, 71, 3, 35
8, 305, 145, 3880, 12.5, 77, 1, 17.5
4, 98, 65, 2045, 16.2, 81, 1, 34.4
6, 145, 76, 3160, 19.6, 81, 2, 30.7
4, 105, 70, 2200, 13.2, 79, 1, 34.2
4, 91, 68, 1985, 16, 81, 3, 34.1
6, 232, 90, 3211, 17, 75, 1, 19
4, 107, 86, 2464, 15.5, 76, 2, 28
4, 97, 67, 1985, 16.4, 77, 3, 30
6, 225, 100, 3233, 15.4, 76, 1, 22
6, 173, 115, 2700, 12.9, 79, 1, 26.8
8, 302, 140, 4294, 16, 72, 1, 13
8, 260, 110, 4060, 19, 77, 1, 17
4, 105, 74, 1980, 15.3, 82, 2, 36
4, 98, 80, 2164, 15, 72, 1, 28
8, 318, 140, 4080, 13.7, 78, 1, 17.5
4, 121, 80, 2670, 15, 79, 1, 27.4
4, 119, 82, 2720, 19.4, 82, 1, 31
6, 231, 115, 3245, 15.4, 79, 1, 21.5
4, 107, 75, 2205, 14.5, 82, 3, 36
4, 98, 83, 2219, 16.5, 74, 2, 29
4, 98, 65, 2380, 20.7, 81, 1, 29.9
8, 351, 138, 3955, 13.2, 79, 1, 16.5
8, 318, 140, 3735, 13.2, 78, 1, 19.4
8, 350, 145, 4440, 14, 75, 1, 15
4, 97, 46, 1835, 20.5, 70, 2, 26
4, 113, 95, 2372, 15, 70, 3, 24
6, 250, 100, 3781, 17, 74, 1, 16
4, 120, 87, 2979, 19.5, 72, 2, 21
6, 258, 110, 3730, 19, 75, 1, 15
6, 250, 100, 3329, 15.5, 71, 1, 17
8, 429, 208, 4633, 11, 72, 1, 11
4, 112, 85, 2575, 16.2, 82, 1, 31
6, 225, 85, 3465, 16.6, 81, 1, 17.6
4, 140, 90, 2264, 15.5, 71, 1, 28
8, 400, 175, 5140, 12, 71, 1, 13
4, 97, 78, 2300, 14.5, 74, 2, 26
6, 200, 85, 2965, 15.8, 78, 1, 20.2
8, 318, 150, 3436, 11, 70, 1, 18
6, 199, 97, 2774, 15.5, 70, 1, 18
6, 258, 120, 3410, 15.1, 78, 1, 18.1
4, 68, 49, 1867, 19.5, 73, 2, 29
