@relation autoMPG8
@attribute Cylinders integer[3,8]
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Origin integer[1,3]
@attribute Mpg real[9.0,46.6]
@inputs Cylinders, Displacement, Horse_power, Weight, Acceleration, Model_year, Origin
@outputs Mpg
@data
4, 112, 88, 2605, 19.6, 82, 1, 28
6, 155, 107, 2472, 14, 73, 1, 21
4, 91, 68, 2025, 18.2, 82, 3, 37
4, 135, 84, 2370, 13, 82, 1, 36
6, 258, 95, 3193, 17.8, 76, 1, 17.5
5, 183, 77, 3530, 20.1, 79, 2, 25.4
4, 119, 97, 2300, 14.7, 78, 3, 27.2
8, 429, 198, 4341, 10, 70, 1, 15
8, 383, 170, 3563, 10, 70, 1, 15
4, 89, 71, 1925, 14, 79, 2, 31.9
6, 173, 115, 2595, 11.3, 79, 1, 28.8
8, 400, 190, 4422, 12.5, 72, 1, 13
6, 250, 88, 3139, 14.5, 71, 1, 18
6, 225, 100, 3651, 17.7, 76, 1, 20
4, 121, 115, 2795, 15.7, 78, 2, 21.6
8, 318, 150, 4077, 14, 72, 1, 14
4, 134, 95, 2560, 14.2, 78, 3, 27.5
6, 225, 105, 3613, 16.5, 74, 1, 18
4, 97, 88, 2279, 19, 73, 3, 20
8, 307, 130, 3504, 12, 70, 1, 18
6, 200, 88, 3060, 17.1, 81, 1, 20.2
8, 440, 215, 4312, 8.5, 70, 1, 14
4, 71, 65, 1773, 19, 71, 3, 31
4, 101, 83, 2202, 15.3, 76, 2, 27
4, 108, 93, 2391, 15.5, 74, 3, 26
6, 232, 90, 3085, 17.6, 76, 1, 22.5
4, 156, 92, 2620, 14.4, 81, 1, 25.8
4, 116, 90, 2123, 14, 71, 2, 28
6, 232, 100, 2914, 16, 75, 1, 20
4, 140, 88, 2870, 18.1, 80, 1, 26.4
4, 105, 63, 2125, 14.7, 82, 1, 38
4, 134, 96, 2702, 13.5, 75, 3, 24
6, 168, 116, 2900, 12.6, 81, 3, 25.4
4, 140, 88, 2720, 15.4, 78, 1, 25.1
4, 144, 96, 2665, 13.9, 82, 3, 32
4, 79, 67, 1950, 19, 74, 3, 31
6, 231, 105, 3535, 19.2, 78, 1, 19.2
4, 98, 70, 2120, 15.5, 80, 1, 32.1
6, 250, 78, 3574, 21, 76, 1, 18
8, 350, 105, 3725, 19, 81, 1, 26.6
6, 231, 110, 3907, 21, 75, 1, 17
4, 86, 64, 1875, 16.4, 81, 1, 39
4, 121, 110, 2660, 14, 73, 2, 24
4, 79, 67, 2000, 16, 74, 2, 31
8, 318, 150, 4135, 13.5, 72, 1, 15
6, 199, 90, 2648, 15, 70, 1, 21
6, 225, 100, 3430, 17.2, 78, 1, 20.5
4, 120, 88, 2160, 14.5, 82, 3, 36
4, 135, 84, 2490, 15.7, 81, 1, 27.2
4, 113, 95, 2278, 15.5, 72, 3, 24
4, 97.5, 80, 2126, 17, 72, 1, 25
8, 318, 150, 3399, 11, 73, 1, 15
8, 318, 150, 3755, 14, 76, 1, 13
4, 151, 88, 2740, 16, 77, 1, 24.5
4, 90, 48, 2085, 21.7, 80, 2, 44.3
8, 400, 175, 4464, 11.5, 71, 1, 14
8, 350, 165, 3693, 11.5, 70, 1, 15
8, 400, 190, 4325, 12.2, 77, 1, 15.5
4, 98, 60, 2164, 22.1, 76, 1, 24.5
8, 304, 150, 3672, 11.5, 72, 1, 17
4, 89, 62, 2050, 17.3, 81, 3, 37.7
4, 140, 72, 2565, 13.6, 76, 1, 26.5
4, 85, 65, 2020, 19.2, 79, 3, 31.8
8, 360, 150, 3940, 13, 79, 1, 18.5
4, 98, 70, 2125, 17.3, 82, 1, 36
4, 97, 88, 2100, 16.5, 72, 3, 27
8, 455, 225, 3086, 10, 70, 1, 14
8, 302, 137, 4042, 14.5, 73, 1, 14
6, 250, 105, 3897, 18.5, 75, 1, 16
4, 79, 70, 2074, 19.5, 71, 2, 30
4, 90, 75, 2125, 14.5, 74, 1, 28
8, 302, 139, 3205, 11.2, 78, 1, 18.1
6, 163, 133, 3410, 15.8, 78, 2, 16.2
8, 351, 152, 4215, 12.8, 76, 1, 14.5
8, 318, 150, 4457, 13.5, 74, 1, 14
4, 151, 90, 2678, 16.5, 80, 1, 28
6, 232, 100, 2634, 13, 71, 1, 19
4, 120, 74, 2635, 18.3, 81, 3, 31.6
