@relation autoMPG8
@attribute Cylinders integer[3,8]
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Origin integer[1,3]
@attribute Mpg real[9.0,46.6]
@inputs Cylinders, Displacement, Horse_power, Weight, Acceleration, Model_year, Origin
@outputs Mpg
@data
8, 455, 225, 4425, 10, 70, 1, 14
4, 90, 70, 1937, 14, 75, 2, 29
4, 108, 70, 2245, 16.9, 82, 3, 34
4, 81, 60, 1760, 16.1, 81, 3, 35.1
8, 307, 130, 4098, 14, 72, 1, 13
4, 97, 52, 2130, 24.6, 82, 2, 44
4, 111, 80, 2155, 14.8, 77, 1, 30
6, 250, 72, 3158, 19.5, 75, 1, 15
4, 97, 88, 2130, 14.5, 71, 3, 27
4, 135, 84, 2525, 16, 82, 1, 29
4, 89, 71, 1990, 14.9, 78, 2, 31.5
8, 302, 139, 3570, 12.8, 78, 1, 20.2
4, 105, 74, 2190, 14.2, 81, 2, 33
4, 91, 69, 2130, 14.7, 79, 2, 37.3
6, 225, 95, 3264, 16, 75, 1, 19
4, 97, 71, 1825, 12.2, 76, 2, 29.5
8, 360, 175, 3821, 11, 73, 1, 13
4, 85, 70, 1990, 17, 76, 3, 32
4, 120, 88, 3270, 21.9, 76, 2, 19
4, 122, 80, 2451, 16.5, 74, 1, 26
8, 350, 180, 4380, 12.1, 76, 1, 16.5
4, 98, 63, 2051, 17, 77, 1, 30.5
4, 151, 90, 2735, 18, 82, 1, 27
8, 400, 170, 4746, 12, 71, 1, 13
4, 135, 84, 2385, 12.9, 81, 1, 30
6, 156, 108, 2930, 15.5, 76, 3, 19
4, 113, 95, 2228, 14, 71, 3, 25
6, 231, 110, 3039, 15, 75, 1, 21
6, 232, 112, 2835, 14.7, 82, 1, 22
8, 429, 198, 4952, 11.5, 73, 1, 12
8, 350, 175, 4100, 13, 73, 1, 13
6, 232, 90, 3265, 18.2, 79, 1, 20.2
4, 91, 67, 1965, 15.7, 82, 3, 32
4, 108, 75, 2265, 15.2, 80, 3, 32.2
4, 135, 84, 2295, 11.6, 82, 1, 32
4, 110, 87, 2672, 17.5, 70, 2, 25
8, 260, 110, 3365, 15.5, 78, 1, 19.9
4, 98, 76, 2144, 14.7, 80, 2, 41.5
8, 400, 170, 4668, 11.5, 75, 1, 16
4, 140, 72, 2401, 19.5, 73, 1, 21
8, 302, 140, 3449, 10.5, 70, 1, 17
4, 88, 76, 2065, 14.5, 71, 2, 30
4, 105, 70, 2150, 14.9, 79, 1, 34.5
6, 262, 85, 3015, 17, 82, 1, 38
4, 91, 67, 1850, 13.8, 80, 3, 44.6
4, 120, 97, 2489, 15, 74, 3, 24
4, 151, 90, 2556, 13.2, 79, 1, 33.5
4, 105, 63, 2215, 14.9, 81, 1, 34.7
4, 97, 75, 2155, 16.4, 76, 3, 28
3, 70, 100, 2420, 12.5, 80, 3, 23.7
4, 146, 67, 3250, 21.8, 80, 2, 30
6, 250, 100, 3282, 15, 71, 1, 19
4, 107, 72, 2290, 17, 80, 3, 32.4
4, 83, 61, 2003, 19, 74, 3, 32
6, 200, 85, 2990, 18.2, 79, 1, 19.8
6, 250, 88, 3302, 15.5, 71, 1, 19
6, 231, 110, 3415, 15.8, 81, 1, 22.4
4, 140, 83, 2639, 17, 75, 1, 23
8, 302, 140, 4638, 16, 74, 1, 14
8, 351, 153, 4129, 13, 72, 1, 14
8, 318, 150, 4498, 14.5, 75, 1, 16
4, 121, 112, 2868, 15.5, 73, 2, 19
4, 140, 92, 2572, 14.9, 76, 1, 25
8, 400, 175, 4385, 12, 72, 1, 14
4, 140, 72, 2408, 19, 71, 1, 22
8, 262, 110, 3221, 13.5, 75, 1, 20
4, 85, 52, 2035, 22.2, 76, 1, 29
4, 105, 75, 2230, 14.5, 78, 1, 30.9
8, 305, 130, 3840, 15.4, 79, 1, 17
4, 121, 98, 2945, 14.5, 75, 2, 22
8, 302, 130, 4295, 14.9, 77, 1, 15
8, 260, 90, 3420, 22.2, 79, 1, 23.9
8, 304, 120, 3962, 13.9, 76, 1, 15.5
8, 351, 149, 4335, 14.5, 77, 1, 16
4, 108, 75, 2350, 16.8, 81, 3, 32.4
4, 86, 65, 2110, 17.9, 80, 3, 46.6
4, 151, 84, 2635, 16.4, 81, 1, 26.6
8, 304, 150, 3672, 11.5, 73, 1, 14
